Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
weary,False,salet,block,block,block,block,block
spurn,False,salet,block,block,block,block,block
croak,False,salet,block,dumpy,dumpy,dumpy,dumpy
twine,False,salet,dumpy,dumpy,dumpy,dumpy,dumpy
spire,False,salet,dumpy,flung,flung,flung,flung
sully,False,salet,flung,dingy,dingy,dingy,fungi
gnash,False,salet,bingo,finch,fjord,fjord,fjord
turbo,False,salet,fjord,buxom,fjord,humid,humid
remit,False,salet,wimpy,wimpy,finch,finch,fjord
chirp,False,salet,howdy,bawdy,bawdy,bawdy,bawdy
curio,False,salet,bawdy,bawdy,bawdy,bawdy,bawdy
berry,False,salet,bawdy,fjord,fjord,fjord,pudgy
close,False,salet,flown,whack,pudgy,pudgy,pudgy
newly,False,salet,pudgy,pudgy,dwarf,dwarf,vapid
bride,False,salet,vapid,vapid,chump,chump,chump
penal,False,salet,chump,chunk,chunk,chump,chump
juice,False,salet,chunk,buxom,fjord,fjord,fjord
witch,False,salet,whack,fjord,fjord,fjord,fjord
lapse,False,salet,fjord,fjord,fjord,fjord,fjord
beady,False,salet,fjord,fjord,buxom,buxom,buxom
baste,False,salet,funky,funky,funky,funky,funky
swift,False,salet,funky,buxom,buxom,buxom,buxom
wispy,False,salet,buxom,buxom,buxom,buxom,buxom
fibre,False,salet,buxom,buxom,buxom,funky,funky
shuck,False,salet,vying,vying,vying,vying,vying
tonal,False,salet,vying,quick,quick,quick,quick
briar,False,salet,quick,jumpy,jumpy,jumpy,jumpy
woozy,False,salet,jumpy,jumpy,chump,chump,chump
harem,False,salet,chump,fjord,fjord,quick,quick
wound,False,salet,quick,quick,quick,fjord,frock
axion,False,salet,frock,frock,frock,quick,quick
clank,False,salet,quick,vying,vying,vying,jumpy
eight,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
quirk,False,salet,jumpy,fjord,fjord,jumpy,vying
cease,False,salet,vying,vying,vying,vying,vying
muddy,False,salet,vying,vying,fjord,fjord,chump
stunk,False,salet,chump,fjord,fjord,fjord,fjord
umbra,False,salet,fjord,fjord,vying,vying,vying
winch,False,salet,vying,vying,chump,chump,fjord
grasp,False,salet,fjord,fjord,jumpy,jumpy,buxom
forum,False,salet,buxom,buxom,vying,vying,vying
alibi,False,salet,vying,vying,vying,vying,fjord
whale,False,salet,fjord,fjord,fjord,fjord,fjord
pivot,False,salet,fjord,fjord,fjord,fjord,jumpy
dairy,False,salet,vying,jumpy,jumpy,chump,chump
music,False,salet,chump,fjord,fjord,fjord,fjord
gazer,False,salet,fjord,fjord,fjord,fjord,vying
bezel,False,salet,vying,vying,vying,vying,vying
fifth,False,salet,vying,vying,nymph,pudgy,pudgy
thief,False,salet,pudgy,pudgy,pudgy,pudgy,pudgy
baggy,False,salet,pudgy,pudgy,fjord,fjord,fjord
gnome,False,salet,fjord,fjord,chump,chump,chunk
sworn,False,salet,chunk,chunk,chump,chump,chump
gnome,False,salet,chump,chump,fjord,fjord,quick
marry,False,salet,quick,quick,quick,quick,quick
sprig,False,salet,quick,quick,chunk,chunk,chunk
teddy,False,salet,chunk,chunk,chunk,chunk,chunk
water,False,salet,chunk,chunk,chunk,chunk,chunk
moral,False,salet,chunk,chunk,chunk,chunk,chunk
thank,False,salet,chunk,fjord,fjord,fjord,fjord
fraud,False,salet,fjord,pudgy,pudgy,chump,chump
await,False,salet,chump,chump,chump,chump,chump
towel,False,salet,chump,chump,chump,chump,chump
borne,False,salet,chump,chump,chump,chump,chump
abort,False,salet,chump,chump,chump,chump,chump
spoke,False,salet,chump,chump,chump,quick,quick
short,False,salet,fjord,quick,quick,quick,quick
tripe,False,salet,quick,quick,chunk,chunk,chunk
earth,False,salet,chunk,chunk,chunk,fjord,jumpy
sweat,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
knelt,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
vouch,False,salet,jumpy,jumpy,fjord,fjord,fjord
snaky,False,salet,fjord,fjord,fjord,fjord,fjord
tower,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
musky,False,salet,jumpy,quick,vying,vying,vying
hippy,False,salet,fjord,fjord,fjord,fjord,fjord
wound,False,salet,fjord,fjord,winch,vying,quick
dingo,False,salet,quick,quick,quick,quick,chump
smirk,False,salet,chump,chump,chunk,chunk,fjord
tawny,False,salet,fjord,fjord,fjord,fjord,fjord
covey,False,salet,fjord,fjord,glyph,glyph,bunch
blind,False,salet,bunch,chunk,chump,chump,chump
crowd,False,salet,chump,chump,chump,fjord,pudgy
bravo,False,salet,glyph,glyph,glyph,glyph,glyph
blond,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
serve,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
ought,False,salet,jumpy,jumpy,jumpy,fjord,fjord
waive,False,salet,vying,glyph,glyph,glyph,glyph
frank,False,salet,glyph,glyph,glyph,glyph,glyph
shorn,False,salet,glyph,fjord,glyph,glyph,jumpy
idyll,False,salet,jumpy,jumpy,fjord,fjord,fjord
liver,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
tonic,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
thorn,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
ombre,False,salet,jumpy,jumpy,quick,quick,quick
bugle,False,salet,quick,vying,vying,fjord,fjord
stock,False,salet,fjord,fjord,quick,finch,vying
barge,False,salet,vying,vying,finch,finch,finch
stork,False,salet,finch,finch,finch,finch,finch
bigot,False,salet,finch,finch,fjord,jumpy,jumpy
nosey,False,salet,jumpy,jumpy,fjord,fjord,fjord
piety,False,salet,finch,finch,fjord,fjord,fjord
media,False,salet,fjord,jumpy,jumpy,fjord,chunk
crony,False,salet,chunk,chunk,fjord,jumpy,jumpy
could,False,salet,jumpy,jumpy,fjord,fjord,jumpy
palsy,False,salet,jumpy,jumpy,fjord,fjord,fjord
munch,False,salet,fjord,fjord,fjord,fjord,fjord
sharp,False,salet,fjord,fjord,finch,finch,finch
grasp,False,salet,quick,quick,quick,quick,quick
usher,False,salet,quick,quick,finch,fjord,fjord
bongo,False,salet,finch,fjord,fjord,finch,quick
mouth,False,salet,quick,quick,quick,finch,fjord
musky,False,salet,fjord,fjord,fjord,fjord,fjord
sugar,False,salet,fjord,finch,finch,finch,finch
refit,False,salet,finch,finch,winch,winch,fjord
plaza,False,salet,fjord,fjord,fjord,fjord,fjord
glean,False,salet,fjord,fjord,fjord,fjord,fjord
blitz,False,salet,fjord,fjord,fjord,fjord,fjord
shank,False,salet,fjord,fjord,fjord,fjord,fjord
prune,False,salet,fjord,jumpy,winch,winch,winch
valet,False,salet,fjord,fjord,fjord,fjord,fjord
bylaw,False,salet,fjord,fjord,fjord,fjord,fjord
guild,False,salet,fjord,fjord,winch,winch,jumpy
front,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
lunge,False,salet,jumpy,jumpy,winch,winch,fjord
stick,False,salet,fjord,fjord,fjord,fjord,fjord
flour,False,salet,fjord,winch,winch,winch,winch
apply,False,salet,winch,winch,winch,winch,winch
mulch,False,salet,winch,jumpy,jumpy,vying,vying
frisk,False,salet,vying,vying,vying,vying,fjord
guild,False,salet,fjord,fjord,jumpy,nymph,nymph
stoic,False,salet,nymph,nymph,nymph,nymph,nymph
rusty,False,salet,nymph,nymph,nymph,nymph,fjord
spill,False,salet,winch,fjord,fjord,fjord,fjord
unzip,False,salet,fjord,fjord,fjord,fjord,fjord
riper,False,salet,fjord,fjord,fjord,winch,winch
graze,False,salet,nymph,nymph,nymph,nymph,nymph
worth,False,salet,nymph,nymph,jumpy,jumpy,jumpy
pygmy,False,salet,jumpy,jumpy,fjord,fjord,fjord
dirty,False,salet,fjord,fjord,winch,winch,winch
spine,False,salet,winch,winch,frock,frock,frock
crazy,False,salet,frock,frock,buxom,buxom,buxom
joker,False,salet,buxom,buxom,buxom,jumpy,jumpy
swami,False,salet,jumpy,jumpy,jumpy,chunk,chunk
spelt,False,salet,chunk,chunk,chunk,chunk,chunk
rayon,False,salet,chunk,chunk,quick,quick,quick
exist,False,salet,quick,quick,quick,jumpy,jumpy
sight,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
vegan,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
unlit,False,salet,jumpy,jumpy,jumpy,fjord,fjord
mouth,False,salet,fjord,fjord,fjord,fjord,jumpy
hover,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
forum,False,salet,jumpy,chunk,chunk,fjord,winch
cabin,False,salet,winch,vying,fjord,fjord,fjord
denim,False,salet,fjord,fjord,fjord,fjord,frock
flaky,False,salet,frock,jumpy,jumpy,jumpy,jumpy
tuber,False,salet,frock,jumpy,jumpy,winch,winch
teach,False,salet,winch,winch,fjord,fjord,fjord
bunch,False,salet,fjord,fjord,fjord,fjord,fjord
scamp,False,salet,fjord,fjord,fjord,fjord,fjord
later,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
earth,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
music,False,salet,jumpy,vying,vying,vying,fjord
thing,False,salet,fjord,fjord,fjord,fjord,fjord
noisy,False,salet,fjord,fjord,fjord,jumpy,jumpy
credo,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
dirge,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
spent,False,salet,jumpy,vying,vying,jumpy,fjord
penny,False,salet,fjord,fjord,fjord,fjord,fjord
wring,False,salet,fjord,fjord,fjord,jumpy,jumpy
lodge,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
pygmy,False,salet,jumpy,vying,vying,fjord,fjord
dutch,False,salet,fjord,winch,fjord,fjord,winch
drawl,False,salet,quick,quick,quick,quick,quick
feign,False,salet,quick,buxom,buxom,buxom,buxom
glass,False,salet,buxom,buxom,buxom,buxom,buxom
spout,False,salet,buxom,fjord,fjord,vying,vying
imply,False,salet,vying,winch,bunch,bunch,bunch
solar,False,salet,bunch,bunch,bunch,bunch,bunch
shock,False,salet,bunch,bunch,fjord,fjord,jumpy
bevel,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
bushy,False,salet,jumpy,jumpy,fjord,fjord,fjord
print,False,salet,fjord,fjord,fjord,fjord,fjord
tunic,False,salet,vying,vying,buxom,buxom,fjord
least,False,salet,fjord,fjord,fjord,fjord,fjord
wrath,False,salet,fjord,fjord,fjord,buxom,buxom
nerdy,False,salet,buxom,buxom,buxom,buxom,buxom
inbox,False,salet,buxom,jumpy,jumpy,jumpy,jumpy
soapy,False,salet,jumpy,jumpy,jumpy,jumpy,fjord
world,False,salet,quick,quick,quick,quick,quick
crane,False,salet,quick,fjord,fjord,buxom,buxom
loamy,False,salet,buxom,buxom,quick,quick,quick
hound,False,salet,quick,winch,quick,quick,winch
crush,False,salet,quick,vying,vying,vying,vying
skulk,False,salet,vying,vying,vying,vying,vying
grail,False,salet,vying,fjord,fjord,fjord,fjord
decal,False,salet,vying,vying,vying,vying,vying
plant,False,salet,vying,fjord,fjord,fjord,fjord
being,False,salet,fjord,fjord,fjord,fjord,fjord
loser,False,salet,fjord,fjord,quick,quick,quick
hoist,False,salet,quick,quick,quick,quick,jumpy
waltz,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
enact,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
weigh,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
bulky,False,salet,jumpy,jumpy,fjord,fjord,fjord
chief,False,salet,fjord,winch,fjord,fjord,fjord
toxic,False,salet,buxom,buxom,jumpy,jumpy,jumpy
plumb,False,salet,jumpy,winch,winch,winch,winch
thing,False,salet,winch,vying,fjord,fjord,fjord
story,False,salet,fjord,fjord,fjord,jumpy,jumpy
proud,False,salet,jumpy,quick,quick,winch,winch
clasp,False,salet,winch,winch,vying,vying,vying
dingy,False,salet,vying,vying,fjord,fjord,fjord
humus,False,salet,fjord,fjord,fjord,fjord,fjord
magic,False,salet,fjord,fjord,fjord,fjord,fjord
tulip,False,salet,fjord,fjord,fjord,fjord,fjord
atone,False,salet,fjord,fjord,fjord,fjord,jumpy
quilt,False,salet,jumpy,jumpy,jumpy,jumpy,winch
flush,False,salet,winch,fjord,fjord,winch,winch
lumen,False,salet,jumpy,fjord,fjord,fjord,fjord
spade,False,salet,fjord,winch,winch,winch,winch
shine,False,salet,winch,winch,fjord,fjord,fjord
banal,False,salet,fjord,fjord,fjord,fjord,fjord
smote,False,salet,fjord,fjord,fjord,jumpy,jumpy
slimy,False,salet,jumpy,jumpy,fjord,fjord,fjord
death,False,salet,fjord,fjord,quick,quick,quick
dusky,False,salet,quick,quick,quick,fjord,fjord
would,False,salet,winch,winch,fjord,fjord,vying
chord,False,salet,vying,vying,vying,vying,vying
aloud,False,salet,vying,vying,vying,vying,vying
minus,False,salet,vying,vying,vying,fjord,fjord
spoil,False,salet,fjord,fjord,fjord,jumpy,jumpy
fjord,False,salet,jumpy,jumpy,jumpy,brick,brick
hover,False,salet,brick,brick,quick,quick,quick
ledge,False,salet,quick,quick,quick,quick,quick
organ,False,salet,quick,quick,quick,quick,quick
burnt,False,salet,quick,vying,vying,quick,quick
bravo,False,salet,vying,brick,quick,quick,quick
