Correct Word,Number of Guesses,1st Guess,2nd Guess,3rd Guess,4th Guess,5th Guess,6th Guess
turbo,3,salet,botch,turbo,,,
cynic,3,salet,bingo,cynic,,,
chalk,4,salet,afoul,black,chalk,,
nudge,4,salet,begin,gnome,nudge,,
fussy,5,salet,bison,dusky,mushy,fussy,
chain,3,salet,abhor,chain,,,
clasp,3,salet,flash,clasp,,,
plate,3,salet,fetal,plate,,,
fritz,4,salet,botch,dirty,fritz,,
march,4,salet,bacon,magic,march,,
bowel,3,salet,bluer,bowel,,,
crier,5,salet,bicep,chief,cried,crier,
havoc,3,salet,bacon,havoc,,,
again,4,salet,abhor,admin,again,,
flunk,5,salet,blimp,cloud,flung,flunk,
fatty,6,salet,baton,datum,patch,ratty,fatty
blurb,5,salet,blimp,blond,bluff,blurb,
beach,4,salet,abide,began,beach,,
sissy,4,salet,scion,squib,sissy,,
dense,4,salet,chose,guise,dense,,
there,4,salet,berth,their,there,,
forte,3,salet,berth,forte,,,
chest,2,salet,chest,,,,
creed,5,salet,bicep,coven,cheek,creed,
mercy,4,salet,begin,decor,mercy,,
guest,3,salet,crest,guest,,,
fully,3,salet,filmy,fully,,,
frost,3,salet,crust,frost,,,
amuse,3,salet,abuse,amuse,,,
grace,4,salet,abide,chafe,grace,,
frost,4,salet,crust,wrist,frost,,
drawn,5,salet,abhor,cramp,drain,drawn,
dried,4,salet,bicep,fried,dried,,
annoy,4,salet,abhor,axion,annoy,,
latch,2,salet,latch,,,,
cocoa,3,salet,abhor,cocoa,,,
armor,3,salet,abhor,armor,,,
guide,4,salet,begin,grime,guide,,
gouge,5,salet,begin,fudge,rouge,gouge,
cleft,2,salet,cleft,,,,
latch,3,salet,fatal,latch,,,
downy,4,salet,bingo,crony,downy,,
glean,4,salet,agile,gleam,glean,,
dairy,3,salet,bacon,dairy,,,
freak,4,salet,abide,cheap,freak,,
clank,4,salet,afoul,black,clank,,
admit,3,salet,abort,admit,,,
geeky,4,salet,begin,gecko,geeky,,
about,3,salet,abort,about,,,
reedy,4,salet,begin,decor,reedy,,
lathe,2,salet,lathe,,,,
boule,3,salet,bloke,boule,,,
extol,2,salet,extol,,,,
trunk,5,salet,botch,dirty,trump,trunk,
agora,4,salet,abhor,acorn,agora,,
aunty,2,salet,aunty,,,,
bench,3,salet,begin,bench,,,
cramp,3,salet,abhor,cramp,,,
dingy,3,salet,bingo,dingy,,,
anime,4,salet,abide,afire,anime,,
kebab,5,salet,abide,began,rehab,kebab,
amuse,3,salet,abuse,amuse,,,
smack,4,salet,scarf,shack,smack,,
spurn,3,salet,scion,spurn,,,
lasso,3,salet,basil,lasso,,,
cream,5,salet,abide,cheap,creak,cream,
brake,4,salet,abide,brace,brake,,
lemur,4,salet,bloke,newly,lemur,,
score,4,salet,scone,scope,score,,
happy,5,salet,bacon,fairy,gaudy,happy,
eater,5,salet,hater,water,cater,eater,
ankle,4,salet,agile,amble,ankle,,
elbow,3,salet,bloke,elbow,,,
cliff,4,salet,blimp,cling,cliff,,
hardy,4,salet,bacon,fairy,hardy,,
libel,3,salet,bluer,libel,,,
dusky,3,salet,bison,dusky,,,
humid,4,salet,bingo,chirp,humid,,
hello,4,salet,belch,helix,hello,,
hover,5,salet,bicep,dozen,homer,hover,
comet,2,salet,comet,,,,
class,3,salet,flash,class,,,
deter,4,salet,inter,outer,deter,,
drool,4,salet,blimp,could,drool,,
might,4,salet,bigot,fight,might,,
crepe,5,salet,begin,chore,crude,crepe,
basil,2,salet,basil,,,,
baste,6,salet,caste,haste,paste,waste,baste
feign,5,salet,begin,deign,reign,feign,
began,3,salet,abide,began,,,
cacao,4,salet,bacon,macho,cacao,,
blade,3,salet,agile,blade,,,
agape,4,salet,abide,argue,agape,,
geese,4,salet,chose,guise,geese,,
giddy,4,salet,bingo,rigid,giddy,,
cover,4,salet,bicep,coven,cover,,
grate,4,salet,atone,crate,grate,,
banal,3,salet,carol,banal,,,
enter,3,salet,inter,enter,,,
chute,3,salet,berth,chute,,,
grate,5,salet,atone,crate,irate,grate,
prowl,3,salet,blimp,prowl,,,
derby,3,salet,begin,derby,,,
alien,2,salet,alien,,,,
crush,3,salet,bison,crush,,,
alien,2,salet,alien,,,,
caste,2,salet,caste,,,,
burly,3,salet,blimp,burly,,,
fishy,5,salet,bison,risky,wispy,fishy,
piney,3,salet,bicep,piney,,,
