Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
eaten,4,salet,cater,matey,eaten,,
dwarf,5,salet,abhor,cramp,diary,dwarf,
brisk,3,salet,bison,brisk,,,
geese,4,salet,chose,guise,geese,,
setup,2,salet,setup,,,,
myrrh,4,salet,bingo,chump,myrrh,,
alone,3,salet,agile,alone,,,
bingo,2,salet,bingo,,,,
brook,5,salet,birch,brown,brood,brook,
drain,4,salet,abhor,cramp,drain,,
scout,2,salet,scout,,,,
debug,3,salet,begin,debug,,,
croup,4,salet,birch,crony,croup,,
roomy,4,salet,birch,dowry,roomy,,
savvy,5,salet,sandy,saucy,savoy,savvy,
acrid,3,salet,abhor,acrid,,,
blink,4,salet,blimp,blind,blink,,
burst,2,salet,burst,,,,
gouge,5,salet,begin,forge,dodge,gouge,
beady,3,salet,abide,beady,,,
ankle,4,salet,agile,amble,ankle,,
musky,5,salet,bison,dusky,husky,musky,
borax,4,salet,abhor,board,borax,,
silly,3,salet,silky,silly,,,
super,5,salet,screw,skier,sober,super,
juicy,3,salet,birch,juicy,,,
comfy,3,salet,birch,comfy,,,
modem,4,salet,bicep,dozen,modem,,
brace,3,salet,abide,brace,,,
drape,4,salet,abide,drake,drape,,
gaudy,4,salet,bacon,dairy,gaudy,,
admin,3,salet,abhor,admin,,,
shale,3,salet,scale,shale,,,
nerdy,3,salet,begin,nerdy,,,
bliss,3,salet,blush,bliss,,,
bough,3,salet,birch,bough,,,
cloak,3,salet,afoul,cloak,,,
cairn,3,salet,bacon,cairn,,,
bluff,4,salet,blimp,block,bluff,,
deign,3,salet,begin,deign,,,
match,3,salet,batch,match,,,
molar,3,salet,aglow,molar,,,
randy,4,salet,bacon,handy,randy,,
erase,4,salet,abuse,chase,erase,,
droop,4,salet,birch,dowry,droop,,
cause,2,salet,cause,,,,
funky,4,salet,birch,downy,funky,,
bobby,5,salet,birch,bound,boozy,bobby,
greet,6,salet,comet,duvet,beget,egret,greet
parse,2,salet,parse,,,,
musty,4,salet,dusty,gusty,musty,,
drank,4,salet,abhor,cramp,drank,,
gassy,5,salet,basic,mason,raspy,gassy,
basil,2,salet,basil,,,,
niche,5,salet,begin,fiend,mince,niche,
ensue,3,salet,chose,ensue,,,
midst,4,salet,crust,foist,midst,,
ennui,4,salet,begin,fiend,ennui,,
blare,5,salet,agile,blade,blame,blare,
croup,5,salet,birch,crony,crowd,croup,
snare,4,salet,scare,share,snare,,
choir,4,salet,birch,chirp,choir,,
alike,3,salet,agile,alike,,,
crate,3,salet,acute,crate,,,
rerun,4,salet,begin,demon,rerun,,
imply,3,salet,blimp,imply,,,
dwelt,3,salet,cleft,dwelt,,,
caddy,4,salet,bacon,magic,caddy,,
miser,3,salet,bused,miser,,,
scale,2,salet,scale,,,,
humid,3,salet,birch,humid,,,
grape,4,salet,abide,chafe,grape,,
crumb,3,salet,birch,crumb,,,
amiss,4,salet,arson,abyss,amiss,,
dusky,3,salet,bison,dusky,,,
alert,2,salet,alert,,,,
cheek,4,salet,bicep,coven,cheek,,
awoke,4,salet,abide,argue,awoke,,
detox,3,salet,berth,detox,,,
oddly,4,salet,blimp,could,oddly,,
flour,4,salet,blimp,cloud,flour,,
bunny,4,salet,birch,bound,bunny,,
align,3,salet,afoul,align,,,
chump,4,salet,birch,chunk,chump,,
ficus,3,salet,bison,ficus,,,
metro,3,salet,berth,metro,,,
meaty,4,salet,acute,death,meaty,,
fjord,4,salet,birch,dowry,fjord,,
mucky,3,salet,birch,mucky,,,
pizza,5,salet,abhor,quack,ninja,pizza,
khaki,4,salet,abhor,chain,khaki,,
budge,3,salet,begin,budge,,,
allay,3,salet,aglow,allay,,,
dwelt,4,salet,cleft,knelt,dwelt,,
booze,4,salet,begin,broke,booze,,
sweat,2,salet,sweat,,,,
horse,3,salet,chose,horse,,,
awful,3,salet,afoul,awful,,,
bloat,3,salet,adult,bloat,,,
eying,4,salet,begin,eking,eying,,
cumin,3,salet,birch,cumin,,,
droll,5,salet,blimp,could,oddly,droll,
carat,3,salet,caput,carat,,,
among,4,salet,abhor,agony,among,,
loamy,3,salet,afoul,loamy,,,
bosom,3,salet,bison,bosom,,,
abhor,2,salet,abhor,,,,
growl,4,salet,blimp,could,growl,,
boule,3,salet,blend,boule,,,
polka,4,salet,aglow,polar,polka,,
slept,2,salet,slept,,,,
align,4,salet,afoul,amply,align,,
alloy,3,salet,aglow,alloy,,,
coach,4,salet,acorn,mocha,coach,,
haunt,5,salet,caput,daunt,gaunt,haunt,
bevel,4,salet,bluer,bowel,bevel,,
adult,2,salet,adult,,,,
model,4,salet,bluer,dowel,model,,
grave,4,salet,abide,chafe,grave,,
lusty,2,salet,lusty,,,,
hater,3,salet,cater,hater,,,
rarer,6,salet,baker,caper,gamer,wafer,rarer
skill,4,salet,scold,surly,skill,,
jazzy,6,salet,bacon,dairy,gawky,happy,jazzy
clamp,5,salet,afoul,black,claim,clamp,
sooty,3,salet,sixth,sooty,,,
bland,4,salet,afoul,black,bland,,
flick,4,salet,blimp,cling,flick,,
labor,3,salet,badly,labor,,,
equip,3,salet,begin,equip,,,
pride,5,salet,begin,chide,oxide,pride,
slash,4,salet,scald,shawl,slash,,
drill,4,salet,blimp,child,drill,,
lowly,5,salet,blimp,could,wooly,lowly,
shelf,2,salet,shelf,,,,
kneel,6,salet,bluer,dowel,impel,excel,kneel
gayly,4,salet,badly,gaily,gayly,,
detox,4,salet,berth,fetid,detox,,
mount,4,salet,bigot,count,mount,,
bread,4,salet,abide,beard,bread,,
begin,2,salet,begin,,,,
clink,4,salet,blimp,cling,clink,,
mummy,6,salet,birch,downy,jumpy,gummy,mummy
drank,4,salet,acorn,brand,drank,,
inept,4,salet,befit,edict,inept,,
idyll,4,salet,blimp,girly,idyll,,
adobe,3,salet,abide,adobe,,,
chime,5,salet,begun,choke,chide,chime,
broth,3,salet,birth,broth,,,
group,4,salet,birch,dowry,group,,
blank,4,salet,afoul,black,blank,,
light,3,salet,blunt,light,,,
exalt,4,salet,bleat,dealt,exalt,,
giver,5,salet,bicep,diner,fixer,giver,
gayer,5,salet,baker,caper,gamer,gayer,
bused,2,salet,bused,,,,
bongo,4,salet,birch,bound,bongo,,
shook,3,salet,scion,shook,,,
crude,4,salet,begun,coupe,crude,,
flame,5,salet,agile,blade,flake,flame,
bigot,2,salet,bigot,,,,
faint,3,salet,caput,faint,,,
event,4,salet,befit,crept,event,,
joust,3,salet,crust,joust,,,
faint,4,salet,caput,habit,faint,,
growl,4,salet,blimp,could,growl,,
masse,4,salet,pause,raise,masse,,
pasta,3,salet,hasty,pasta,,,
split,2,salet,split,,,,
cache,5,salet,badge,canoe,carve,cache,
clank,4,salet,afoul,black,clank,,
hasty,2,salet,hasty,,,,
dwell,3,salet,blend,dwell,,,
bunny,4,salet,birch,bound,bunny,,
amuse,3,salet,abuse,amuse,,,
dried,4,salet,bicep,fried,dried,,
boozy,4,salet,birch,bound,boozy,,
punch,4,salet,birch,munch,punch,,
buyer,4,salet,bicep,boney,buyer,,
papal,5,salet,badly,carol,naval,papal,
fugue,4,salet,begun,rogue,fugue,,
pleat,4,salet,bleat,cleat,pleat,,
friar,4,salet,acorn,braid,friar,,
afoul,2,salet,afoul,,,,
blend,2,salet,blend,,,,
owner,4,salet,bicep,dozen,owner,,
pansy,4,salet,basic,marsh,pansy,,
bunny,4,salet,birch,bound,bunny,,
bleed,3,salet,bluer,bleed,,,
moult,3,salet,blunt,moult,,,
angst,2,salet,angst,,,,
birch,2,salet,birch,,,,
baste,2,salet,baste,,,,
dogma,3,salet,acorn,dogma,,,
harry,4,salet,bacon,dairy,harry,,
known,4,salet,brick,hunky,known,,
ovary,4,salet,acorn,hoard,ovary,,
comfy,4,salet,brick,cough,comfy,,
fairy,4,salet,bacon,dairy,fairy,,
faint,4,salet,caput,habit,faint,,
empty,3,salet,berth,empty,,,
fully,5,salet,bulky,pulpy,dully,fully,
biddy,4,salet,brick,bingo,biddy,,
hydro,4,salet,brick,forum,hydro,,
briny,4,salet,brick,bring,briny,,
droit,5,salet,brunt,crypt,drift,droit,
eerie,6,salet,begun,decor,jerky,verve,eerie
freer,5,salet,bicep,dozen,fever,freer,
mourn,4,salet,brick,forum,mourn,,
atoll,3,salet,aptly,atoll,,,
fairy,5,salet,bacon,dairy,hairy,fairy,
other,3,salet,inter,other,,,
dowry,4,salet,brick,forum,dowry,,
fiend,4,salet,begun,crone,fiend,,
grimy,3,salet,brick,grimy,,,
dirge,3,salet,begun,dirge,,,
plump,4,salet,blimp,clump,plump,,
album,2,salet,album,,,,
micro,4,salet,brick,curio,micro,,
boost,4,salet,crust,foist,boost,,
cubic,4,salet,brick,pubic,cubic,,
larva,4,salet,badly,carol,larva,,
amble,3,salet,agile,amble,,,
fried,3,salet,bicep,fried,,,
gayer,6,salet,baker,caper,gamer,gazer,gayer
assay,3,salet,arson,assay,,,
assay,3,salet,arson,assay,,,
erase,4,salet,abuse,chase,erase,,
erase,4,salet,abuse,chase,erase,,
camel,3,salet,bagel,camel,,,
attic,4,salet,actor,antic,attic,,
grime,3,salet,begun,grime,,,
bylaw,3,salet,aglow,bylaw,,,
juicy,3,salet,brick,juicy,,,
cache,5,salet,badge,canoe,carve,cache,
